Loading cs402-mpi
  Loading requirement: gcc9
12 t:0.134247, del_t:0.0103256, SOR iters:100, res:3.951922e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
12 t:0.134247, del_t:0.0103256, SOR iters:100, res:3.951922e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
12 t:0.134247, del_t:0.0103256, SOR iters:100, res:3.951922e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
12 t:0.134247, del_t:0.0103256, SOR iters:100, res:3.951922e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
13 t:0.144572, del_t:0.0103254, SOR iters:100, res:3.266922e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
13 t:0.144572, del_t:0.0103254, SOR iters:100, res:3.266922e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
13 t:0.144572, del_t:0.0103254, SOR iters:100, res:3.266922e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
13 t:0.144572, del_t:0.0103254, SOR iters:100, res:3.266922e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
14 t:0.154897, del_t:0.0103253, SOR iters:100, res:2.615512e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
14 t:0.154897, del_t:0.0103253, SOR iters:100, res:2.615512e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
14 t:0.154897, del_t:0.0103253, SOR iters:100, res:2.615512e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
14 t:0.154897, del_t:0.0103253, SOR iters:100, res:2.615512e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
15 t:0.165222, del_t:0.0103251, SOR iters:100, res:2.042582e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
15 t:0.165222, del_t:0.0103251, SOR iters:100, res:2.042582e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
15 t:0.165222, del_t:0.0103251, SOR iters:100, res:2.042582e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
15 t:0.165222, del_t:0.0103251, SOR iters:100, res:2.042582e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
16 t:0.175547, del_t:0.010325, SOR iters:100, res:1.636642e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
16 t:0.175547, del_t:0.010325, SOR iters:100, res:1.636642e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
16 t:0.175547, del_t:0.010325, SOR iters:100, res:1.636642e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
16 t:0.175547, del_t:0.010325, SOR iters:100, res:1.636642e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
17 t:0.185872, del_t:0.0103249, SOR iters:100, res:1.531032e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
17 t:0.185872, del_t:0.0103249, SOR iters:100, res:1.531032e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
17 t:0.185872, del_t:0.0103249, SOR iters:100, res:1.531032e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
17 t:0.185872, del_t:0.0103249, SOR iters:100, res:1.531032e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
18 t:0.196197, del_t:0.0103247, SOR iters:100, res:1.767796e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
18 t:0.196197, del_t:0.0103247, SOR iters:100, res:1.767796e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
18 t:0.196197, del_t:0.0103247, SOR iters:100, res:1.767796e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
18 t:0.196197, del_t:0.0103247, SOR iters:100, res:1.767796e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
19 t:0.206522, del_t:0.0103246, SOR iters:100, res:2.224473e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
19 t:0.206522, del_t:0.0103246, SOR iters:100, res:2.224473e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
19 t:0.206522, del_t:0.0103246, SOR iters:100, res:2.224473e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
19 t:0.206522, del_t:0.0103246, SOR iters:100, res:2.224473e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
20 t:0.216846, del_t:0.0103245, SOR iters:100, res:2.778681e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
20 t:0.216846, del_t:0.0103245, SOR iters:100, res:2.778681e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
20 t:0.216846, del_t:0.0103245, SOR iters:100, res:2.778681e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
20 t:0.216846, del_t:0.0103245, SOR iters:100, res:2.778681e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
21 t:0.227171, del_t:0.0103245, SOR iters:100, res:3.367465e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
21 t:0.227171, del_t:0.0103245, SOR iters:100, res:3.367465e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
21 t:0.227171, del_t:0.0103245, SOR iters:100, res:3.367465e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
21 t:0.227171, del_t:0.0103245, SOR iters:100, res:3.367465e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
22 t:0.237495, del_t:0.0103244, SOR iters:100, res:3.957398e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
22 t:0.237495, del_t:0.0103244, SOR iters:100, res:3.957398e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
22 t:0.237495, del_t:0.0103244, SOR iters:100, res:3.957398e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
22 t:0.237495, del_t:0.0103244, SOR iters:100, res:3.957398e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
23 t:0.247819, del_t:0.0103243, SOR iters:100, res:4.531631e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
23 t:0.247819, del_t:0.0103243, SOR iters:100, res:4.531631e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
23 t:0.247819, del_t:0.0103243, SOR iters:100, res:4.531631e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
23 t:0.247819, del_t:0.0103243, SOR iters:100, res:4.531631e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
24 t:0.258144, del_t:0.0103243, SOR iters:100, res:5.081321e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
24 t:0.258144, del_t:0.0103243, SOR iters:100, res:5.081321e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
24 t:0.258144, del_t:0.0103243, SOR iters:100, res:5.081321e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
24 t:0.258144, del_t:0.0103243, SOR iters:100, res:5.081321e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
25 t:0.268468, del_t:0.0103242, SOR iters:100, res:5.597609e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
25 t:0.268468, del_t:0.0103242, SOR iters:100, res:5.597609e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
25 t:0.268468, del_t:0.0103242, SOR iters:100, res:5.597609e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
25 t:0.268468, del_t:0.0103242, SOR iters:100, res:5.597609e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
26 t:0.278792, del_t:0.0103241, SOR iters:100, res:6.076001e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
26 t:0.278792, del_t:0.0103241, SOR iters:100, res:6.076001e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
26 t:0.278792, del_t:0.0103241, SOR iters:100, res:6.076001e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
26 t:0.278792, del_t:0.0103241, SOR iters:100, res:6.076001e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
27 t:0.289116, del_t:0.010324, SOR iters:100, res:6.512420e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
27 t:0.289116, del_t:0.010324, SOR iters:100, res:6.512420e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
27 t:0.289116, del_t:0.010324, SOR iters:100, res:6.512420e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
27 t:0.289116, del_t:0.010324, SOR iters:100, res:6.512420e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
